Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
Go Ahead,China ,46,9.0,"16,845","The story revolves around three troubled youths who find solace in their common experiences to become the best family that they can be for each other.

Growing up in dysfunctional households, three individuals who are unrelated by blood treat each other like family as they yearn for the love that they cannot find at home. Eldest brother Ling Xiao, second brother He Zi Qiu, and youngest sister Li Jian Jian grow up together, experiencing life’s joy and strife as they support each other’s chosen paths.
 As Ling Xiao and He Zi Qiu graduate from high school, they return to their original families. Nine years later, the three are reunited, but the heartaches from their complicated family past become a shadow that constantly lingers. Can they finally fix their personal issues to become better versions of themselves?

(Source: Chinesedrama.info)

~~ Two versions available: 46 episodes (TV version) || 40 episodes (online version).","Comedy,  Romance,  Drama,  Melodrama ",Depression Child Abandonment Meet Again Mental Illness Slice Of Life Nice Male Lead Male Chases Female First Bromance Tragic Past Sismance,Ding Zi Guang ,"Wang Xiong Cheng,  Shui Qian Mo "
Love Like the Galaxy: Part 1,China ,27,9.0,"11,695","Ling Bu Yi, the foster son of Emperor Wen and a talented & ruthless general of the Black Armour Army, was on a personal mission to uncover hidden truths about the past, which had led to the massacre of an entire city and of his clan when he met Cheng Shao Shang during a mission to apprehend a fugitive in a rural village. 

The young Cheng Shao Shang had been left behind because her parents had gone off to fight in the war. Neglected and uneducated, she had been a thorn in her aunt's and grandmother's side until the unexpected return of her parents after many years on the frontlines.

Having always lacked a loving family, Shao Shang had been looking forward to being reunited with her parents, but the many years of separation inevitably led to some estrangement. Shao Shang, however, is unfazed and determined to live for herself, and her unruly and audacious nature, and her quick wits, begin to catch the attention of quite a few people in the capital, including Ling Bu Yi. 

(Source: MyDramaList)

~~ Adapted from the novel ""Xing Han Can Lan, Xing Shen Zhi Zai"" (星汉灿烂, 幸甚至哉) by Guan Xin Ze Luan (关心则乱).","Historical,  Mystery,  Romance,  Political ",Slow Burn Romance Adapted From A Novel Strong Male Lead Slice Of Life Smart Female Lead Strong Female Lead Han Dynasty Historical Fiction Slow Burn Story Slight Comedy,Fei Zhen Xiang ,"Zou Yue,  An Yi Mo "
Crash Landing on You,South Korea ,16,9.0,"83,574","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.

(Source: queen of repressed rage at MyDramaList) ","Military,  Comedy,  Romance,  Political ",North And South Korea Strong Male Lead Rich Female Lead Nice Male Lead Fate Calm Male Lead Friendship Strong Female Lead Smart Female Lead Cohabitation,Lee Jeong Hyo ,Park Ji Eun 
Parasite,South Korea ,,9.0,"61,574","Kim Gi Woo is a young man who lives with his unemployed, poor family of four in a semi-basement. One day, his friend Min Hyuk tells him that he is leaving to study abroad and that he should replace him as the tutor of a rich family. Ki Taek then meets the Parks, a rich family of four who are the owners of a global IT firm. Yun Gyo, the lady of the Park's house, accepts Gi Woo as a tutor for her daughter, and he uses Yun Gyo’s naiveness as a chance to employ his other family members.

(Source: MyDramaList)","Thriller,  Comedy,  Drama ",Social Commentary Lying Deception Hidden Identity Black Comedy Poor Family Poor Male Lead Greed Rich Family Multiple Mains,er & Director: Bong Joon Ho ,Han Jin Won 
Let's BTS,South Korea ,1,9.0,485,"Hosted by Shin Dong Yup, the show features a never-before-seen, up-close and personal side of BTS, shown across a variety of different segments. BTS have a chance to honestly open up about their careers in interviews with each other, while also showing the public a more personal side to them through games and unique challenges. Finally, the show tops off with some special, never-before-seen live stages by the BTS boys. In addition to MC Shin Dong Yup, comedian Jang Do Yeon joins BTS for some fun, quirky segments. 

(Source: Allkpop)","Music,  Comedy ",K-Pop Quirky Humour BTS Talk Show,,
New Journey to the West Season 3,South Korea ,10,9.0,"1,441","Each member takes one of the characters from the classic Chinese novel “Journey to the West” as they go to different destination every season. In Season 3, Kang Ho-dong, Eun Ji-won, Lee Soo-Geun, Ahn Jae-Hyun, Mino and Kyuhyun travel to China (Guilin and Xiamen). New characters Master Roshi and Bulma were also introduced.

(Source: Wikipedia) ","Adventure,  Comedy ",Variety Show Travel Show Game Show Sechs Kies Super Junior WINNER Competition Reality Show,Na Young Seok ,
Going Seventeen 2022,South Korea ,29,9.0,516,The fourth season of Going Seventeen. This Going Seventeen season starts in the year 2022 with episode 36. ,"Music,  Comedy ",SEVENTEEN K-Pop Variety Show Friendship,,
Navillera,South Korea ,12,9.0,"14,702","A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.

Shim Deok Chool has had a life long dreaming of performing ballet. He is 70-years-old and retired from his job as a post office employee. Due to life situations, he put aside his dream of becoming a ballet dancer and worked a normal job to support his family. Now, Shim Deok Chool makes the decision to pursue his dream again. His family, including his wife and adult children, are not happy with his decision, but Shim Deok Chool does not waver in pursuing his life long dream. He joins a ballet company to learn ballet. There, he meets Lee Chae Rok.

Lee Chae Rok is a 23-year-old man. While growing up, he played different sports like baseball, swimming, and soccer, but he wasn't talented in any of those activities. He then became interested in ballet. His mother was a ballet dancer, but she died from a disease when Lee Chae Rok was young. His father later went bankrupt. Lee Chae Rok learned that he has a talent for ballet, but, after pursuing ballet, he barely has contact with his father and he has a hard time supporting himself financially. Going through hard times, his desire for ballet fades away. At this time, Sim Deok Chool appears in front of him.

(Source: Netflix, AsianWiki)

~~ Adapted from the webtoon ""Navillera” (나빌레라) written by Hun and illustrated by Ji Min.","Life,  Drama ",Ballet Life Lesson Unusual Friendship Adapted From A Webtoon Second Chance Father-Son Relationship Character Development Grandpa-Granddaughter Relationship Bromance Kind Male Lead,Han Dong Hwa ,Lee Eun Mi 
Break the Silence: The Movie Commentary,South Korea ,,9.0,486,"Commentary video of the 7 BTS members who have gathered in one place to watch the premiere of Break The Silence: The Movie.
(Source: Weverse) ","Music,  Life,  Youth,  Documentary ",K-Pop BTS Friendship,,
A Taxi Driver,South Korea ,,9.0,"8,040","A widowed taxi driver raises his young daughter alone and works hard to pay back the hospital bills left behind by his late wife. One day, he hears that a foreigner is willing to pay a large sum for a drive from Seoul to Gwangju city and back. Not knowing that the foreigner was a German journalist, he takes the job and sets off on a journey together.
(Source: tvN Asia) ","Action,  Drama,  Political ",Gwangju Uprising Based On True Story Death Protest Friendship Suppression Of Media 1980s Journalist Male Lead Father-Daughter Relationship Car Chase,Jang Hoon ,"Jo Seul Ye,  Uhm Yoo Na "
Vincenzo,South Korea ,20,9.0,"63,042","At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.

(Source: Netflix, AsianWiki)","Comedy,  Law,  Crime,  Drama ",Revenge Mafia Eccentric Female Lead Smart Male Lead Slight Romance Injustice Bromance Badass Male Lead Father-Daughter Relationship Smart Female Lead,Kim Hee Won ,Park Jae Bum 
Monsta X - Ray Season 2,South Korea ,8,9.0,"1,068",“We’re prepared to show a variety of images that we weren’t able to show through the first season. Viewers can anticipate a fun show.” - Monsta X ,Comedy ,K-Pop Monsta X Variety Show,,
It's Okay to Not Be Okay,South Korea ,16,8.9,"84,098","Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.

Moon Gang Tae denies love and Ko Moon Young doesn’t know it. The two defy fate and fall in love, finding their souls and identities in the process. 

(Source: Soompi & Koreandrama.org)","Psychological,  Comedy,  Romance,  Drama ",Possessive Female Lead Independent Female Lead Successful Female Lead Melodrama Healing Selfless Male Lead Badass Female Lead Psychiatry Childhood Connection Trauma,"Park Shin Woo,  Jung Dong Yoon ",Jo Yong 
Word of Honor - Epilogue,China ,1,8.9,"2,968",This special episode shows what happens after the end of the main show 'Word of Honor'. ,"Wuxia,  Fantasy ",Homoerotic Subtext Playful Male Lead Censored Adaptation Of Same-sex Original Work Jianghu Xianxia Immortality Antihero Adapted From A Novel Martial Arts Historical,,
Train to Busan,South Korea ,,8.9,"67,437","Seok Woo, his estranged daughter Soo An, and other passengers become trapped on a KTX train (high-speed train) heading from Seoul to Busan during a disastrous virus outbreak in South Korea.
(Source: MyDramaList) ","Action,  Thriller,  Horror ",Survival Infectious Disease Virus Father-Daughter Relationship Epidemic Gore Disaster Zombies Massacre Noble Sacrifice,er & Director: Yeon Sang Ho ,Park Joo Seok 
Signal,South Korea ,16,8.9,"29,226","Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police were not able to find the culprit. As time went by, Hae Yeong started distrusting the police. 

Fifteen years later, Hae Yeong is now a police officer and criminal profiler. One day, he finds a walkie-talkie that allows him to get in contact with Detective Lee Jae Han who is in the past. Police officers Hae Yeong, Jae Han, and Cha So Hyun then set out on a journey to solve cold cases.

(Source: MyDramaList)","Thriller,  Mystery,  Sci-Fi ",Different Timelines Butterfly Effect Murder Hwaseong Serial Murders Suspense Investigation Death Tragic Past Corruption Time Altering,Kim Won Suk ,Kim Eun Hee 
